109714	110316	-1	1
110433	112613	-1	2
112739	114295	1	3
114292	115590	1	4
115590	115961	1	5
115958	117454	-1	6
117678	118646	1	7
118718	119929	1	8
119907	121532	-1	9
121647	122864	1	10
122861	124351	1	11
124593	125648	1	12
125660	126880	1	13
127080	127985	1	14
127982	128752	1	15
128768	129484	-1	16
129484	130815	-1	17
130812	131963	-1	18
131960	132913	-1	19
133513	135699	1	20
136100	137086	1	21
137220	138110	1	22
138151	138576	1	23
139076	140254	1	24
140256	140699	1	25
140692	141108	1	26
141105	142622	1	27
142913	143989	1	28
144480	145130	1	29
145359	147206	-1	30
147217	148719	-1	31
148732	150876	-1	32
